,标签,数量,准确率,召回率,F值
0,论文名称,115,0.991304347826087,0.991304347826087,0.991304347826087
1,姓名,113,0.9396551724137931,0.9646017699115044,0.9519650655021834
2,单位,117,0.9557522123893806,0.9230769230769231,0.9391304347826088
3,中文摘要,68,0.9852941176470589,0.9852941176470589,0.9852941176470589
4,中文关键词,68,0.9552238805970149,0.9411764705882353,0.9481481481481482
5,英文摘要,51,0.98,0.9607843137254902,0.9702970297029702
6,英文关键词,48,0.94,0.9791666666666666,0.9591836734693877
7,一级标题,273,0.8253968253968254,0.9523809523809523,0.8843537414965985
8,二级标题,360,0.8518518518518519,0.8305555555555556,0.8410689170182842
9,文本段,1602,0.9666876178504086,0.9600499375780275,0.9633573441904165
10,三级标题,91,0.9178082191780822,0.7362637362637363,0.8170731707317073
11,图片,241,0.9253112033195021,0.9253112033195021,0.9253112033195021
12,表题,104,0.9519230769230769,0.9519230769230769,0.9519230769230769
13,表格,77,1.0,0.9090909090909091,0.9523809523809523
14,邮箱,24,0.9565217391304348,0.9166666666666666,0.9361702127659574
15,公式,384,0.968503937007874,0.9609375,0.9647058823529412
16,图题,257,0.9320754716981132,0.9610894941634242,0.946360153256705
17,程序代码,2,,0.0,
