,标签,数量,准确率,召回率,F值
0,论文名称,304,0.9553264604810997,0.9144736842105263,0.9344537815126052
1,姓名,290,0.8432835820895522,0.7793103448275862,0.8100358422939068
2,中文摘要,169,0.9567901234567902,0.9171597633136095,0.9365558912386707
3,中文关键词,169,0.9470588235294117,0.9526627218934911,0.9498525073746312
4,单位,298,0.8205980066445183,0.8288590604026845,0.8247078464106845
5,一级标题,722,0.8676923076923077,0.7811634349030471,0.8221574344023324
6,文本段,4408,0.9564044943820225,0.9655172413793104,0.9609392639421992
7,表题,284,0.9245283018867925,0.8626760563380281,0.8925318761384335
8,表格,237,0.8744939271255061,0.9113924050632911,0.8925619834710744
9,邮箱,71,0.8305084745762712,0.6901408450704225,0.7538461538461537
10,图片,614,0.8667711598746082,0.9006514657980456,0.8833865814696485
11,图题,720,0.9200561009817672,0.9111111111111111,0.9155617585484997
12,二级标题,903,0.7982625482625483,0.9158361018826136,0.853017019082001
13,公式,1031,0.9427184466019417,0.94180407371484,0.9422610383309072
14,三级标题,177,0.5128205128205128,0.3389830508474576,0.4081632653061224
