,标签,数量,准确率,召回率,F值
0,论文名称,109,0.9807692307692307,0.9357798165137615,0.9577464788732395
1,姓名,99,0.9381443298969072,0.9191919191919192,0.9285714285714285
2,单位,110,0.9292035398230089,0.9545454545454546,0.9417040358744395
3,中文摘要,63,0.9682539682539683,0.9682539682539683,0.9682539682539683
4,一级标题,271,0.8807692307692307,0.8450184501845018,0.8625235404896422
5,文本段,1498,0.9677631578947369,0.9819759679572764,0.9748177601060305
6,二级标题,294,0.9388489208633094,0.8877551020408163,0.9125874125874126
7,公式,389,0.9817708333333334,0.9691516709511568,0.9754204398447607
8,表格,65,0.9661016949152542,0.8769230769230769,0.9193548387096773
9,中文关键词,60,0.921875,0.9833333333333333,0.9516129032258064
10,图片,257,0.9328358208955224,0.9727626459143969,0.9523809523809523
11,图题,318,0.9768211920529801,0.9276729559748428,0.9516129032258064
12,表题,84,0.9010989010989011,0.9761904761904762,0.937142857142857
13,邮箱,19,1.0,0.8421052631578947,0.9142857142857143
14,三级标题,23,0.4,0.6956521739130435,0.507936507936508
